id,machine_bias,time_groups,ranking,flat_rank
57,A=B|A=B|B>A,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
58,A=B|A=B|B>A,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
59,A=B|A=B|B>A,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
60,A=B|A=B|B>A,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
61,A=B|B>A|A>B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
62,A=B|B>A|A>B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
63,A=B|B>A|A>B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
64,A=B|B>A|A>B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
65,A=B|B>A|A=B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
66,A=B|B>A|A=B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
67,A=B|B>A|A=B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
68,A=B|B>A|A=B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","A1,B1,B2,A2,A3,B3"
69,A=B|B>A|B>A,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2)], [('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
70,A=B|B>A|B>A,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('B', 2), ('A', 2), ('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
71,A=B|B>A|B>A,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2)], [('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
72,A=B|B>A|B>A,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('B', 2), ('A', 2), ('B', 3), ('A', 3)]]","A1,B1,B2,A2,B3,A3"
73,B>A|A>B|A>B,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
74,B>A|A>B|A>B,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
75,B>A|A>B|A>B,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
76,B>A|A>B|A>B,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
77,B>A|A>B|A=B,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
78,B>A|A>B|A=B,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
79,B>A|A>B|A=B,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
80,B>A|A>B|A=B,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
81,B>A|A>B|B>A,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
82,B>A|A>B|B>A,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
83,B>A|A>B|B>A,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
84,B>A|A>B|B>A,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
85,B>A|A=B|A>B,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
86,B>A|A=B|A>B,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
87,B>A|A=B|A>B,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
88,B>A|A=B|A>B,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
89,B>A|A=B|A=B,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
90,B>A|A=B|A=B,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
