truth_type_p1,truth_type_p2,player,EU_truth,max_regret,best_dev_type
106,24,2,59.755,0.0,-1
54,23,1,4753.23,0.0,-1
54,23,2,5053.63,0.0,-1
12,53,1,523.23,0.0,-1
12,53,2,5535.805,0.0,-1
49,21,1,5190.63,0.0,-1
49,21,2,553.63,0.0,-1
17,53,1,5190.63,0.0,-1
17,53,2,5535.805,0.0,-1
73,85,1,960.63,0.0,-1
73,85,2,1035.805,0.0,-1
89,6,1,960.63,0.0,-1
89,6,2,5057.455,0.0,-1
95,64,1,519.09,0.0,-1
95,64,2,59.755,0.0,-1
50,93,1,4753.23,0.0,-1
50,93,2,103.63,0.0,-1
28,95,1,56.58,0.0,-1
28,95,2,553.63,0.0,-1
36,93,1,523.23,0.0,-1
36,93,2,103.63,0.0,-1
2,49,1,4753.23,0.0,-1
2,49,2,5535.805,0.0,-1
41,12,1,5190.63,0.0,-1
41,12,2,557.455,0.0,-1
17,83,1,5190.63,0.0,-1
17,83,2,553.63,0.0,-1
107,0,1,52.44,0.0,-1
107,0,2,557.455,0.0,-1
33,48,1,52.44,0.0,-1
33,48,2,557.455,0.0,-1
56,47,1,52.35,0.0,-1
56,47,2,5053.63,0.0,-1
25,93,1,524.13,0.0,-1
25,93,2,103.63,0.0,-1
50,48,1,4753.23,0.0,-1
50,48,2,557.455,0.0,-1
64,69,1,56.58,0.0,-1
64,69,2,55.93,0.0,-1
9,46,1,519.09,0.0,-1
9,46,2,505.795,0.0,-1
15,28,1,47490.63,0.0,-1
15,28,2,59.755,0.0,-1
22,21,1,475.35,0.0,-1
22,21,2,553.63,0.0,-1
105,90,1,10.14,0.0,-1
105,90,2,557.455,0.0,-1
33,20,1,52.44,0.0,-1
33,20,2,55.795,0.0,-1
6,93,1,4753.23,0.0,-1
6,93,2,103.63,0.0,-1
87,6,1,5190.63,0.0,-1
87,6,2,5057.455,0.0,-1
96,22,1,14.33,0.0,-1
96,22,2,505.79,0.0,-1
81,4,1,96.09,0.0,-1
81,4,2,557.455,0.0,-1
91,37,1,5190.63,0.0,-1
91,37,2,5535.805,0.0,-1
103,26,1,524.13,0.0,-1
103,26,2,509.755,0.0,-1
11,24,1,4749.09,0.0,-1
11,24,2,59.755,0.0,-1
4,5,1,523.23,0.0,-1
4,5,2,5535.805,0.0,-1
18,94,1,4753.23,0.0,-1
18,94,2,55.795,0.0,-1
96,35,1,14.33,0.0,-1
96,35,2,505.925,0.0,-1
28,64,1,56.58,0.0,-1
28,64,2,59.755,0.0,-1
91,106,1,5190.63,0.0,-1
91,106,2,6.025,0.0,-1
87,40,1,5190.63,0.0,-1
87,40,2,557.455,0.0,-1
18,17,1,4753.23,0.0,-1
18,17,2,5535.805,0.0,-1
59,37,1,4749.09,0.0,-1
59,37,2,5535.805,0.0,-1
13,95,1,5190.63,0.0,-1
13,95,2,553.63,0.0,-1
56,16,1,52.35,0.0,-1
56,16,2,557.455,0.0,-1
17,65,1,5190.63,0.0,-1
17,65,2,558.805,0.0,-1
5,56,1,5190.63,0.0,-1
5,56,2,55.795,0.0,-1
91,92,1,5190.63,0.0,-1
91,92,2,10.795,0.0,-1
3,30,1,47490.63,0.0,-1
3,30,2,509.755,0.0,-1
29,56,1,524.13,0.0,-1
29,56,2,55.795,0.0,-1
28,6,1,56.58,0.0,-1
28,6,2,5057.455,0.0,-1
18,85,1,4753.23,0.0,-1
18,85,2,1035.805,0.0,-1
72,75,1,100.23,0.0,-1
72,75,2,5535.805,0.0,-1
31,102,1,4754.13,0.0,-1
31,102,2,59.755,0.0,-1
9,28,1,519.09,0.0,-1
9,28,2,59.755,0.0,-1
103,6,1,524.13,0.0,-1
103,6,2,5057.455,0.0,-1
3,49,1,47490.63,0.0,-1
3,49,2,5535.805,0.0,-1
82,60,1,52.35,0.0,-1
82,60,2,59.755,0.0,-1
64,61,1,56.58,0.0,-1
64,61,2,558.805,0.0,-1
94,15,1,52.35,0.0,-1
94,15,2,50535.805,0.0,-1
15,42,1,47490.63,0.0,-1
15,42,2,5057.455,0.0,-1
39,46,1,47490.63,0.0,-1
39,46,2,505.795,0.0,-1
10,66,1,475.35,0.0,-1
10,66,2,509.755,0.0,-1
33,54,1,52.44,0.0,-1
33,54,2,5057.455,0.0,-1
10,99,1,475.35,0.0,-1
10,99,2,558.805,0.0,-1
98,15,1,56.58,0.0,-1
98,15,2,50535.805,0.0,-1
45,72,1,519.09,0.0,-1
45,72,2,107.455,0.0,-1
53,15,1,5190.63,0.0,-1
53,15,2,50535.805,0.0,-1
66,16,1,479.58,0.0,-1
66,16,2,557.455,0.0,-1
27,38,1,4754.13,0.0,-1
27,38,2,5057.455,0.0,-1
76,43,1,100.23,0.0,-1
76,43,2,50535.805,0.0,-1
70,93,1,47.985,0.0,-1
70,93,2,103.63,0.0,-1
5,105,1,5190.63,0.0,-1
5,105,2,10.93,0.0,-1
90,52,1,523.23,0.0,-1
90,52,2,557.455,0.0,-1
15,33,1,47490.63,0.0,-1
15,33,2,55.93,0.0,-1
30,26,1,479.58,0.0,-1
30,26,2,509.755,0.0,-1
39,50,1,47490.63,0.0,-1
39,50,2,5057.455,0.0,-1
