truth_type_p1,truth_type_p2,player,EU_truth,max_regret,best_dev_type
33,48,2,523.82,0.0,-1
56,47,1,51.88,0.0,-1
56,47,2,4727.315,0.0,-1
25,93,1,521.32,0.0,-1
25,93,2,101.315,0.0,-1
50,48,1,4717.12,0.0,-1
50,48,2,523.82,0.0,-1
64,69,1,56.47,0.0,-1
64,69,2,52.715,0.0,-1
9,46,1,514.3,0.0,-1
9,46,2,473.15,0.0,-1
15,28,1,47127.82,0.0,-1
15,28,2,56.72,0.0,-1
22,21,1,471.73,0.0,-1
22,21,2,519.815,0.0,-1
105,90,1,10.3,0.0,-1
105,90,2,546.32,0.0,-1
33,20,1,52.15,0.0,-1
33,20,2,52.4,0.0,-1
6,93,1,4717.12,0.0,-1
6,93,2,101.315,0.0,-1
87,6,1,5277.82,0.0,-1
87,6,2,4731.32,0.0,-1
96,22,1,14.62,0.0,-1
96,22,2,473.15,0.0,-1
81,4,1,95.8,0.0,-1
81,4,2,523.82,0.0,-1
91,37,1,5277.82,0.0,-1
91,37,2,5197.97,0.0,-1
103,26,1,534.82,0.0,-1
103,26,2,477.47,0.0,-1
11,24,1,4712.8,0.0,-1
11,24,2,56.72,0.0,-1
4,5,1,518.62,0.0,-1
4,5,2,5197.97,0.0,-1
18,94,1,4717.12,0.0,-1
18,94,2,54.65,0.0,-1
96,35,1,14.62,0.0,-1
96,35,2,473.465,0.0,-1
28,64,1,56.47,0.0,-1
28,64,2,56.72,0.0,-1
91,106,1,5277.82,0.0,-1
91,106,2,5.915,0.0,-1
87,40,1,5277.82,0.0,-1
87,40,2,523.82,0.0,-1
18,17,1,4717.12,0.0,-1
18,17,2,5197.97,0.0,-1
59,37,1,4712.8,0.0,-1
59,37,2,5197.97,0.0,-1
13,95,1,5142.82,0.0,-1
13,95,2,542.315,0.0,-1
56,16,1,51.88,0.0,-1
56,16,2,523.82,0.0,-1
17,65,1,5142.82,0.0,-1
17,65,2,526.97,0.0,-1
5,56,1,5142.82,0.0,-1
5,56,2,52.4,0.0,-1
91,92,1,5277.82,0.0,-1
91,92,2,10.55,0.0,-1
3,30,1,47127.82,0.0,-1
3,30,2,477.47,0.0,-1
29,56,1,521.32,0.0,-1
29,56,2,52.4,0.0,-1
28,6,1,56.47,0.0,-1
28,6,2,4731.32,0.0,-1
18,85,1,4717.12,0.0,-1
18,85,2,1012.97,0.0,-1
72,75,1,100.12,0.0,-1
72,75,2,5422.97,0.0,-1
31,102,1,4719.82,0.0,-1
31,102,2,58.97,0.0,-1
9,28,1,514.3,0.0,-1
9,28,2,56.72,0.0,-1
103,6,1,534.82,0.0,-1
103,6,2,4731.32,0.0,-1
3,49,1,47127.82,0.0,-1
3,49,2,5197.97,0.0,-1
82,60,1,53.23,0.0,-1
82,60,2,56.72,0.0,-1
64,61,1,56.47,0.0,-1
64,61,2,526.97,0.0,-1
94,15,1,53.23,0.0,-1
94,15,2,47272.97,0.0,-1
15,42,1,47127.82,0.0,-1
15,42,2,4731.32,0.0,-1
39,46,1,47127.82,0.0,-1
39,46,2,473.15,0.0,-1
10,66,1,471.73,0.0,-1
10,66,2,477.47,0.0,-1
33,54,1,52.15,0.0,-1
33,54,2,4731.32,0.0,-1
10,99,1,471.73,0.0,-1
10,99,2,549.47,0.0,-1
98,15,1,57.82,0.0,-1
98,15,2,47272.97,0.0,-1
45,72,1,514.3,0.0,-1
45,72,2,105.32,0.0,-1
53,15,1,5142.82,0.0,-1
53,15,2,47272.97,0.0,-1
66,16,1,476.32,0.0,-1
66,16,2,523.82,0.0,-1
27,38,1,4719.82,0.0,-1
27,38,2,4731.32,0.0,-1
76,43,1,100.12,0.0,-1
76,43,2,47272.97,0.0,-1
70,93,1,47.65,0.0,-1
70,93,2,101.315,0.0,-1
5,105,1,5142.82,0.0,-1
5,105,2,10.865,0.0,-1
90,52,1,532.12,0.0,-1
90,52,2,523.82,0.0,-1
15,33,1,47127.82,0.0,-1
15,33,2,52.715,0.0,-1
30,26,1,476.32,0.0,-1
30,26,2,477.47,0.0,-1
39,50,1,47127.82,0.0,-1
39,50,2,4731.32,0.0,-1
